RS,RSS,QL Index,Conversion Rate Index,% of total,Conversion rate
ALBANY,CAPITAL DISTRICT NY,103,98,0.003051643,0.043189369
ALBANY,CHAMPLAIN VT,51,90,0.001408451,0.04
ALBANY,FINGER LAKES,104,119,0.003755869,0.052631579
ALBANY,HORSEHEADS NY,0,0,0,0
ALBANY,KINGSTON NY,69,101,0.002112676,0.044554455
ALBANY,MIDDLETOWN NY,122,95,0.003521127,0.042016807
ALBANY,PEEKSKILL NY,91,136,0.003755869,0.060150376
ALBANY,SARATOGA NY,95,130,0.003755869,0.05734767
ALBANY,SOUTHERN TIER NY,84,175,0.004460094,0.07755102
ALBANY,SYRACUSE NY,129,84,0.003286385,0.037037037
ALBANY,UNASSIGNED,0,0,0.001643192,0
ALBANY,UTICA NY,83,65,0.001643192,0.028806584
ALBANY,WESTCHESTER NY,107,122,0.00399061,0.054140127
ATLANTA,BUFORD GA,116,160,0.005633803,0.070588235
ATLANTA,CAMP CREEK,171,95,0.004929577,0.041916168
ATLANTA,CARTERSVILLE,84,193,0.004929577,0.085365854
ATLANTA,DOUGLASVILLE GA,143,103,0.004460094,0.045454545
ATLANTA,DULUTH GA,109,99,0.003286385,0.043887147
ATLANTA,GAINESVILLE GA,114,156,0.005399061,0.068862275
ATLANTA,HIRAM,114,81,0.002816901,0.035820896
ATLANTA,JONESBORO GA,152,71,0.003286385,0.031460674
ATLANTA,KENNESAW GA,96,105,0.003051643,0.046428571
ATLANTA,MCDONOUGH,146,90,0.00399061,0.039906103
ATLANTA,ROSWELL,97,104,0.003051643,0.045936396
ATLANTA,STONE MOUNTAIN GA,145,112,0.004929577,0.049411765
ATLANTA,UNASSIGNED,0,0,0.002816901,0
ATLANTA,WEST GEORGIA,88,192,0.005164319,0.084942085
ATLANTA,NEWNAN,39,79,0.000938967,0.035087719
BALTIMORE,BEL AIR MD,109,162,0.005399061,0.071875
BALTIMORE,CARLISLE PA,90,129,0.003521127,0.057251908
BALTIMORE,COLUMBIA MD,113,123,0.004225352,0.054545455
BALTIMORE,GLEN BURNIE MD,123,88,0.003286385,0.038997214
BALTIMORE,LANDOVER MD,221,101,0.006807512,0.044753086
BALTIMORE,MIDDLETOWN DE,78,110,0.00258216,0.04845815
BALTIMORE,NEWARK DE,102,113,0.003521127,0.050167224
BALTIMORE,SALISBURY MD,82,161,0.00399061,0.071129707
BALTIMORE,TOWSON MD,142,92,0.00399061,0.040865385
BALTIMORE,UNASSIGNED,0,0,0.000469484,0
BALTIMORE,WALDORF MD,137,124,0.005164319,0.054862843
BALTIMORE,YORK PA,83,185,0.004694836,0.081967213
BATON ROUGE,BATON ROUGE LA,144,80,0.003521127,0.035545024
BATON ROUGE,GULFPORT MS,121,89,0.003286385,0.039548023
BATON ROUGE,HAMMOND LA,138,123,0.005164319,0.054590571
BATON ROUGE,HATTIESBURG,128,66,0.00258216,0.029411765
BATON ROUGE,HOUMA LA,85,45,0.001173709,0.02
BATON ROUGE,JACKSON MS,173,94,0.004929577,0.041584158
BATON ROUGE,LAFAYETTE LA,110,105,0.003521127,0.046439628
BATON ROUGE,LAKE CHARLES LA,78,139,0.003286385,0.061403509
BATON ROUGE,MONROE LA,159,83,0.00399061,0.03655914
BATON ROUGE,NEW ORLEANS LA,172,63,0.003286385,0.027833002
BATON ROUGE,SHREVEPORT LA,104,82,0.00258216,0.036184211
BATON ROUGE,UNASSIGNED,0,0,0.000704225,0
BOSTON,BOSTON MA,85,18,0.000469484,0.008032129
BOSTON,BROCKTON MA,162,96,0.004694836,0.042283298
BOSTON,CONCORD NH,62,99,0.001877934,0.043956044
BOSTON,DOVER NH,47,116,0.001643192,0.051094891
BOSTON,FOXBOROUGH MA,127,61,0.002347418,0.02688172
BOSTON,LAWRENCE MA,98,79,0.002347418,0.034843206
BOSTON,MANCHESTER NH,61,126,0.002347418,0.055555556
BOSTON,NASHUA NH,100,39,0.001173709,0.017123288
BOSTON,NORTH BOSTON MA,95,65,0.001877934,0.028776978
BOSTON,UNASSIGNED,0,0,0.000704225,0
BOSTON,MAINE NORTH,105,126,0.00399061,0.055555556
BOSTON,SOUTHERN MAINE,72,108,0.002347418,0.047619048
BOSTON,CENTRAL MAINE,0,0,0.000234742,0
CHARLOTTE,ANDERSON SC,72,86,0.001877934,0.037914692
CHARLOTTE,ASHEVILLE NC,90,112,0.003051643,0.049618321
CHARLOTTE,CHARLOTTE NC,142,98,0.004225352,0.043165468
CHARLOTTE,GASTONIA NC,113,89,0.003051643,0.039393939
CHARLOTTE,GREENVILLE SC,102,113,0.003521127,0.050167224
CHARLOTTE,HICKORY NC,76,81,0.001877934,0.035874439
CHARLOTTE,KANNAPOLIS NC,149,68,0.003051643,0.029885057
CHARLOTTE,MONROE NC,58,159,0.002816901,0.070175439
CHARLOTTE,ROCK HILL,130,95,0.003755869,0.041884817
CHARLOTTE,SPARTANBURG SC,98,71,0.002112676,0.03125
CHARLOTTE,WINSTON-SALEM NC,108,122,0.00399061,0.053968254
CLEVELAND,ANN ARBOR MI,58,106,0.001877934,0.047058824
CLEVELAND,ELYRIA,126,61,0.002347418,0.027173913
CLEVELAND,FINDLAY OH,64,157,0.003051643,0.069518717
CLEVELAND,LAKEWOOD OH,166,79,0.00399061,0.034979424
CLEVELAND,MENTOR OH,181,60,0.003286385,0.026365348
CLEVELAND,TOLEDO OH,175,48,0.00258216,0.021442495
CLEVELAND,UNASSIGNED,0,0,0.002112676,0
COLUMBIA,ATHENS GA,148,120,0.005399061,0.053117783
COLUMBIA,AUGUSTA GA,148,63,0.002816901,0.02764977
COLUMBIA,COLUMBIA SC,139,33,0.001408451,0.014705882
COLUMBIA,FLORENCE SC,59,91,0.001643192,0.040462428
COLUMBIA,LEXINGTON SC,125,149,0.005633803,0.065753425
COLUMBIA,MACON GA,113,130,0.004460094,0.057401813
COLUMBIA,MYRTLE BEACH SC,138,101,0.004225352,0.044554455
COLUMBIA,N. CHARLESTON SC,97,103,0.003051643,0.045774648
COLUMBIA,RSS SUMMERVILLE,92,126,0.003521127,0.055762082
COLUMBIA,SAVANNAH GA,130,113,0.004460094,0.05
COLUMBIA,STATESBORO GA,70,221,0.004694836,0.097560976
COLUMBIA,UNASSIGNED,0,0,0.001643192,0
COLUMBIA,WARNER ROBINS,48,48,0.000704225,0.021276596
COLUMBUS,CANTON OH,168,60,0.003051643,0.026476578
COLUMBUS,CIRCLEVILLE OH,102,76,0.002347418,0.033444816
COLUMBUS,DAYTON OH,117,99,0.003521127,0.043731778
COLUMBUS,HEATH,98,86,0.00258216,0.038194444
COLUMBUS,MANSFIELD OH,95,105,0.003051643,0.046594982
COLUMBUS,NORTH COLUMBUS OH,120,103,0.003755869,0.045454545
COLUMBUS,PIQUA OH,78,79,0.001877934,0.034934498
COLUMBUS,SOUTH COLUMBUS OH,140,77,0.003286385,0.034146341
COLUMBUS,SPRINGFIELD OH,71,130,0.002816901,0.057416268
COLUMBUS,UNASSIGNED,0,0,0.000234742,0
COLUMBUS,XENIA OH,69,79,0.001643192,0.034825871
COLUMBUS,ZANESVILLE OH,0,0,0,0
FORT LAUDERDALE,DELRAY BEACH FL,88,131,0.003521127,0.058139535
FORT LAUDERDALE,FT LAUDERDALE FL,181,98,0.005399061,0.043396226
FORT LAUDERDALE,FT PIERCE FL,86,99,0.00258216,0.043650794
FORT LAUDERDALE,HIALEAH FL,126,86,0.003286385,0.038043478
FORT LAUDERDALE,HOLLYWOOD FL,113,116,0.00399061,0.051359517
